game_id,game_name
398,Enemy Territory: Quake Wars
398,Enemy Territory: Quake Wars
829,Epic Roller Coasters VR
829,Epic Roller Coasters VR
647,Escape from Tarkov
647,Escape from Tarkov
672,Eternal Fighter Zero
672,Eternal Fighter Zero
808,EV.IO
808,EV.IO
407,Evolve
407,Evolve
366,F.E.A.R.
366,F.E.A.R.
366,F.E.A.R.
579,F1 2018
579,F1 2018
610,F1 2019
610,F1 2019
707,F1 2020
707,F1 2020
752,F1 2021
752,F1 2021
824,F1 22
824,F1 22
523,Faeria
523,Faeria
696,Fall Guys
696,Fall Guys
637,Fantasy Strike
637,Fantasy Strike
844,Farlight 84
844,Farlight 84
630,Farming Simulator 19
630,Farming Simulator 19
850,Farming Simulator 22
850,Farming Simulator 22
223,FIFA 03
223,FIFA 03
222,FIFA 04
222,FIFA 04
221,FIFA 05
221,FIFA 05
220,FIFA 06
220,FIFA 06
219,FIFA 07
219,FIFA 07
218,FIFA 08
218,FIFA 08
217,FIFA 09
217,FIFA 09
216,FIFA 10
216,FIFA 10
215,FIFA 11
215,FIFA 11
250,FIFA 12
250,FIFA 12
255,FIFA 13
255,FIFA 13
271,FIFA 14
271,FIFA 14
362,FIFA 15
362,FIFA 15
421,FIFA 16
421,FIFA 16
465,FIFA 17
465,FIFA 17
518,FIFA 18
518,FIFA 18
556,FIFA 19
556,FIFA 19
621,FIFA 20
621,FIFA 20
414,FIFA 2000
414,FIFA 2000
229,FIFA 2001
229,FIFA 2001
224,FIFA 2002 World Cup
224,FIFA 2002 World Cup
712,FIFA 21
712,FIFA 21
754,FIFA 22
754,FIFA 22
828,FIFA 23
828,FIFA 23
368,FIFA Online 3
368,FIFA Online 3
555,FIFA Online 4
555,FIFA Online 4
673,Fight of Animals
673,Fight of Animals
607,Fighter's History Dynamite
607,Fighter's History Dynamite
581,Fighting EX Layer
581,Fighting EX Layer
877,Football Manager 2024
877,Football Manager 2024
534,Fortnite
534,Fortnite
759,Forza Horizon 5
759,Forza Horizon 5
864,Forza Motorsport (2023)
864,Forza Motorsport (2023)
270,Forza Motorsport 2
270,Forza Motorsport 2
380,Forza Motorsport 3
380,Forza Motorsport 3
378,Forza Motorsport 4
378,Forza Motorsport 4
578,Forza Motorsport 6
578,Forza Motorsport 6
577,Forza Motorsport 7
577,Forza Motorsport 7
598,Free Fire
598,Free Fire
605,Garou: Mark of the Wolves
605,Garou: Mark of the Wolves
605,Garou: Mark of the Wolves
595,Gears 5
595,Gears 5
214,Gears of War
214,Gears of War
263,Gears of War 2
263,Gears of War 2
382,Gears of War 3
382,Gears of War 3
452,Gears of War 4
452,Gears of War 4
505,Gears of War: Ultimate Edition
505,Gears of War: Ultimate Edition
853,GeoGuessr
853,GeoGuessr
466,Ghost Recon Advanced Warfighter
466,Ghost Recon Advanced Warfighter
862,GOALS
862,GOALS
803,GOLF Plus
803,GOLF Plus
744,Golf With Your Friends
744,Golf With Your Friends
408,Gran Turismo 3: A-Spec
408,Gran Turismo 3: A-Spec
238,Gran Turismo 4
238,Gran Turismo 4
821,Gran Turismo 7
821,Gran Turismo 7
629,Gran Turismo Sport
629,Gran Turismo Sport
858,Granblue Fantasy Versus: Rising
858,Granblue Fantasy Versus: Rising
732,Granblue Fantasy: Versus
732,Granblue Fantasy: Versus
433,Grey Goo
433,Grey Goo
632,GRID (2019)
632,GRID (2019)
769,Groove Gunner
